City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hawaiian paradise park,19.5933,-154.9731,25.73,83,75,2.06,US,1723097173
83,greenville,35.6127,-77.3663,25.09,99,100,4.63,US,1723097175
84,arys,42.4252,68.795,40.24,9,0,7.17,KZ,1723097176
85,chateaulin,48.2,-4.0833,17.4,91,99,2.78,FR,1723097177
86,ulladulla,-35.35,150.4667,18.76,64,20,6.42,AU,1723097178
87,gizo,-8.103,156.8419,27.79,77,100,4.31,SB,1723097179
88,la plata,-34.9215,-57.9545,10.49,79,84,4.72,AR,1723097180
89,riyadh,24.6877,46.7219,37.08,6,94,4.5,SA,1723097182
90,bredasdorp,-34.5322,20.0403,8.28,94,0,2.45,ZA,1723097183
91,thompson,55.7435,-97.8558,11.09,76,20,2.06,CA,1723097184
92,qamdo,31.1667,97.2333,20.63,34,93,0.92,CN,1723097185
93,yellowknife,62.456,-114.3525,17.29,51,20,4.12,CA,1723097186
94,puerto ayora,-0.7393,-90.3518,19.19,95,90,3.13,EC,1723097188
95,punta arenas,-53.15,-70.9167,2.06,80,100,3.6,CL,1723097189
96,guerrero negro,27.9769,-114.0611,22.31,75,0,4.87,MX,1723097190
97,flin flon,54.7682,-101.865,11.41,60,95,3.04,CA,1723097191
98,ribas do rio pardo,-20.4431,-53.7592,21.57,37,16,2.44,BR,1723097192
99,vadnais heights,45.0575,-93.0738,19.93,93,100,1.54,US,1723097193
100,talnakh,69.4865,88.3972,18.91,42,15,3.83,RU,1723097195
101,korla,41.7597,86.1469,27.04,28,0,0.6,CN,1723097196
102,port elizabeth,-33.918,25.5701,14.62,95,0,2.24,ZA,1723097197
103,ust-nera,64.5667,143.2,13.56,81,97,1.32,RU,1723097074
104,tolanaro,-25.0319,46.9987,20.04,94,75,3.09,MG,1723097199
105,abbeville,50.1,1.8333,16.98,88,63,2.89,FR,1723097200
106,nova sintra,14.8667,-24.7167,24.9,85,60,8.77,CV,1723097202
107,juneau,58.3019,-134.4197,15.79,85,10,1.22,US,1723096945
108,pudozh,61.8099,36.5345,18.73,54,89,2.09,RU,1723097204
109,leninskoye,41.7589,69.3864,36.91,13,0,3.13,KZ,1723097205
110,sur,22.5667,59.5289,32.31,60,42,1.36,OM,1723097206
111,mahibadhoo,3.7833,72.9667,25.02,81,100,2.29,MV,1723097207
112,brookings,44.3114,-96.7984,16.36,95,40,2.06,US,1723097209
